ID,Description,Source
S-495,elephant,
S-496,"fence, enclosure",
S-497,"to bear (a child), breastfeed?",
S-498,to be hungry,
S-499,female,
S-500,strong,
S-501,strong,
S-502,ant,
S-503,brother,
S-504,wet,
S-505,smoke,
S-506,grandmother,
S-507,grass,
S-508,man (vir),
S-509,guest,
S-510,"he, she, it; they",
S-511,to throw toward,
S-512,to milk,
S-513,"speech, word",
S-514,to wash,
S-515,"clay, mud",
S-516,lion,
S-517,leopard,
S-518,bad,
S-519,millet (Sorghum vulgare),
S-520,navel,
S-521,eye,
S-522,to open,
S-523,to speak,
S-524,to fear,
S-525,louse,
S-526,snake,
S-527,"mouse, rat",
S-528,old,
S-529,to find,
S-530,dream,
S-531,liver,
S-532,barley,
